celex,readable_name,cluster_id,cluster_name,method
31990R3037,NACE Regulation [Regulation (EEC) No 3037/90],15,EU Institutional Framework & Funding,keyword
31991L0271,Urban Waste Water Treatment Directive [Directive 91/271/EEC],12,"Environment, Energy & Climate",keyword
31991L0414,Plant Protection Products Directive [Directive 91/414/EEC],13,"Health, Medicines & Life Sciences",keyword
31991L0439,First Driving Licence Directive [Directive 91/439/EEC],11,Transport & Mobility,keyword
31991L0440,Railway Development Directive [Directive 91/440/EEC],11,Transport & Mobility,keyword
31991L0477,Firearms Directive [Directive 91/477/EEC],9,Criminal Justice & Fundamental Rights,keyword
31991L0496,Directive 91/496/EEC,7,Consumer Rights & Internal Market,keyword
31991L0672,Directive 91/672/EEC,7,Consumer Rights & Internal Market,keyword
31991L0675,Directive 91/675/EEC,6,"Banking, Payments, Insurance & AML",keyword
31991L0676,Nitrates Directive [Directive 91/676/EEC],12,"Environment, Energy & Climate",keyword
31991L0692,Council Directive 91/692/EEC,12,"Environment, Energy & Climate",keyword
31991R3924,Regulation (EEC) No 3924/91,15,EU Institutional Framework & Funding,keyword
31992L0013,Directive 92/13/EEC,7,Consumer Rights & Internal Market,keyword
31992L0029,Directive 92/29/EEC,11,Transport & Mobility,keyword
31992L0043,Habitats Directive [Directive 92/43/EEC],12,"Environment, Energy & Climate",keyword
31992L0075,Energy Labelling Directive [Directive 92/75/EEC],12,"Environment, Energy & Climate",keyword
31992R0218,Regulation (EEC) No 218/92,5,"Financial Markets, Investment & Capital",keyword
31992R2408,Council Regulation (EEC) No 2408/92,7,Consumer Rights & Internal Market,keyword
31992R3600,Regulation (EEC) No 3600/92,13,"Health, Medicines & Life Sciences",keyword
31993L0013,Unfair Terms Directive [Council Directive 93/13/EEC],7,Consumer Rights & Internal Market,keyword
31993L0098,Copyright Term Directive [Council Directive 93/98/EEC],3,"Digital Content, Media & Copyright",keyword
31993R0095,Airport Slots Regulation [Regulation (EEC) No 95/93],7,Consumer Rights & Internal Market,keyword
31993R0315,Regulation (EEC) No 315/93,13,"Health, Medicines & Life Sciences",keyword
31993R0339,Regulation (EEC) No 339/93,12,"Environment, Energy & Climate",keyword
31993R0696,Regulation (EEC) No 696/93,13,"Health, Medicines & Life Sciences",keyword
31993R0793,Regulation (EEC) No 793/93,12,"Environment, Energy & Climate",keyword
31993R1945,Regulation (EEC) No 1945/93,7,Consumer Rights & Internal Market,keyword
31993R2186,Regulation (EEC) No 2186/93,15,EU Institutional Framework & Funding,keyword
31994L0019,Deposit Guarantee Schemes Directive [Directive 94/19/EC],6,"Banking, Payments, Insurance & AML",keyword
31994L0022,Hydrocarbons Licensing Directive [Directive 94/22/EC],12,"Environment, Energy & Climate",hand
31994L0028,Directive 94/28/EC,13,"Health, Medicines & Life Sciences",keyword
31994L0035,Directive 94/35/EC,13,"Health, Medicines & Life Sciences",keyword
31994L0062,Packaging and Packaging Waste Directive [Directive 94/62/EC],12,"Environment, Energy & Climate",keyword
31994L0063,Stage I Petrol Vapour Recovery Directive [Directive 94/63/EC],11,Transport & Mobility,keyword
31994R0040,Community Trade Mark Regulation [Council Regulation (EC) No 40/94],8,Intellectual Property,keyword
31995L0016,Lifts Directive [Directive 95/16/EC],7,Consumer Rights & Internal Market,keyword
31995L0046,DPD - Data Protection Directive [Directive 95/46/EC] [repealed by GDPR],0,Data Protection & Privacy,keyword
31995R0297,Regulation (EC) No 297/95,13,"Health, Medicines & Life Sciences",keyword
31995R1683,Uniform Visa Format Regulation [Regulation (EC) No 1683/95],10,"Migration, Asylum & Border Management",keyword
31995R2988,"Regulation (EC, Euratom) No 2988/95",6,"Banking, Payments, Insurance & AML",keyword
31995R3095,Regulation (EC) No 3095/95,10,"Migration, Asylum & Border Management",keyword
31996L0009,Database Directive [Directive 96/9/EC],1,"AI, Data Economy & Digital Identity",keyword
31996L0059,PCB Directive [Directive 96/59/EC],12,"Environment, Energy & Climate",keyword
31996L0062,Ambient Air Quality Directive [Directive 96/62/EC],12,"Environment, Energy & Climate",keyword
31996L0067,Ground Handling Directive [Directive 96/67/EC],7,Consumer Rights & Internal Market,keyword
31996L0075,Directive 96/75/EC,11,Transport & Mobility,keyword
31996L0082,Seveso II Directive [Directive 96/82/EC],12,"Environment, Energy & Climate",keyword
31996L0096,Directive 96/96/EC,11,Transport & Mobility,keyword
31996L0098,Marine Equipment Directive [Directive 96/98/EC],11,Transport & Mobility,keyword
31996R1257,Humanitarian Aid Regulation [Regulation (EC) No 1257/96],10,"Migration, Asylum & Border Management",keyword
31997L0007,Distance Selling Directive [Directive 97/7/EC] [repealed by Directive 2011/83/EU],7,Consumer Rights & Internal Market,keyword
31997L0023,Pressure Equipment Directive [Directive 97/23/EC],7,Consumer Rights & Internal Market,keyword
31997L0066,Telecom Sector Data And Privacy Protection Directive [Directive 97/66/EC] [repealed by ePrivacy Directive 2002/58/EC],0,Data Protection & Privacy,keyword
31997L0067,Postal Services Directive [Directive 97/67/EC],2,Platform Regulation & Digital Markets,keyword
31997L0068,Directive 97/68/EC,11,Transport & Mobility,keyword
31997R0118,Regulation (EC) No 118/97,7,Consumer Rights & Internal Market,keyword
31997R0338,Wildlife Trade Regulation [Regulation (EC) No 338/97],12,"Environment, Energy & Climate",keyword
31997R0515,Regulation (EC) No 515/97,14,"Agriculture, Fisheries & Rural Development",keyword
31997R1290,Regulation (EC) No 1290/97,7,Consumer Rights & Internal Market,keyword
31998L0005,Lawyers Establishment Directive [Directive 98/5/EC],7,Consumer Rights & Internal Market,keyword
31998L0006,Price Indication Directive [Directive 98/6/EC],7,Consumer Rights & Internal Market,keyword
31998L0008,Biocidal Products Directive [Directive 98/8/EC],12,"Environment, Energy & Climate",keyword
31998L0010,Directive 98/10/EC,7,Consumer Rights & Internal Market,keyword
31998L0015,Commission Directive 98/15/EC,12,"Environment, Energy & Climate",keyword
31998L0026,Settlement Finality Directive [Directive 98/26/EC],5,"Financial Markets, Investment & Capital",keyword
31998L0034,Technical Standards Notification Directive [Directive 98/34/EC],2,Platform Regulation & Digital Markets,keyword
31998L0041,Directive 98/41/EC,11,Transport & Mobility,keyword
31998L0058,Farming Animals Directive [Directive 98/58/EC],13,"Health, Medicines & Life Sciences",keyword
31998L0070,Fuel Quality Directive [Directive 98/70/EC],11,Transport & Mobility,keyword
31998L0071,Designs Directive [Directive 98/71/EC],8,Intellectual Property,keyword
31998L0083,Drinking Water Directive [Directive 98/83/EC],12,"Environment, Energy & Climate",keyword
31998R0448,Regulation (EC) No 448/98,15,EU Institutional Framework & Funding,keyword
31998R1606,Regulation (EC) No 1606/98,7,Consumer Rights & Internal Market,keyword
31998R2533,Regulation (EC) No 2533/98,15,EU Institutional Framework & Funding,keyword
31998R2679,Regulation (EC) No 2679/98,7,Consumer Rights & Internal Market,keyword
31999L0002,Irradiated Food Directive [Directive 1999/2/EC],7,Consumer Rights & Internal Market,keyword
31999L0004,Directive 1999/4/EC,13,"Health, Medicines & Life Sciences",hand
31999L0005,Directive 1999/5/EC,2,Platform Regulation & Digital Markets,keyword
31999L0013,Solvents Emissions Directive [Directive 1999/13/EC],12,"Environment, Energy & Climate",keyword
31999L0031,Landfill Directive [Directive 1999/31/EC],12,"Environment, Energy & Climate",keyword
31999L0034,Liability For Defective Products Directive [Directive 1999/34/EC],12,"Environment, Energy & Climate",keyword
31999L0037,Council Directive 1999/37/EC,11,Transport & Mobility,keyword
31999L0042,Directive 1999/42/EC,7,Consumer Rights & Internal Market,keyword
31999L0044,Consumer Sales and Guarantees Directive [Directive 1999/44/EC],7,Consumer Rights & Internal Market,keyword
31999L0045,Dangerous Preparations Directive [Directive 1999/45/EC],7,Consumer Rights & Internal Market,keyword
31999L0070,Fixed-Term Work Directive [Council Directive 1999/70/EC],7,Consumer Rights & Internal Market,keyword
31999L0074,Laying Hens Directive [Directive 1999/74/EC],13,"Health, Medicines & Life Sciences",keyword
31999L0093,Electronic Signatures Directive [Directive 1999/93/EC],1,"AI, Data Economy & Digital Identity",keyword
31999L0094,Car Labelling Directive [Directive 1999/94/EC],11,Transport & Mobility,keyword
31999R0307,Regulation (EC) No 307/1999,7,Consumer Rights & Internal Market,keyword
31999R0659,Regulation (EC) No 659/1999,7,Consumer Rights & Internal Market,keyword
31999R0807,Regulation (EC) No 807/1999,13,"Health, Medicines & Life Sciences",keyword
31999R0856,Regulation (EC) No 856/1999,14,"Agriculture, Fisheries & Rural Development",hand
31999R1073,OLAF Regulation [Regulation (EC) No 1073/1999],9,Criminal Justice & Fundamental Rights,keyword
31999R1399,Council Regulation (EC) No 1399/1999,7,Consumer Rights & Internal Market,keyword
31999R2157,Regulation (EC) No 2157/1999,5,"Financial Markets, Investment & Capital",keyword
32000L0031,eCommerce Directive [Directive 2000/31/EC] [amended by DSA],2,Platform Regulation & Digital Markets,hand
32000L0043,Racial Equality Directive [Directive 2000/43/EC],7,Consumer Rights & Internal Market,keyword
32000L0076,Waste Incineration Directive [Directive 2000/76/EC],12,"Environment, Energy & Climate",keyword
32000L0078,Employment Equality Directive [Council Directive 2000/78/EC],7,Consumer Rights & Internal Market,keyword
32000R0104,Regulation (EC) No 104/2000,14,"Agriculture, Fisheries & Rural Development",keyword
32000R0141,Orphan Medicines Regulation [Regulation (EC) No 141/2000],13,"Health, Medicines & Life Sciences",keyword
32000R1346,Insolvency Regulation [Regulation (EC) No 1346/2000],10,"Migration, Asylum & Border Management",keyword
32000R1348,Regulation (EC) No 1348/2000,7,Consumer Rights & Internal Market,hand
32000R2725,Eurodac Regulation [Regulation (EC) No 2725/2000],10,"Migration, Asylum & Border Management",keyword
32001L0014,Directive 2001/14/EC,11,Transport & Mobility,keyword
32001L0020,Clinical Trials Directive [Directive 2001/20/EC] [repealed by CTR],13,"Health, Medicines & Life Sciences",keyword
32001L0023,Acquired Rights Directive [Directive 2001/23/EC],7,Consumer Rights & Internal Market,keyword
32001L0024,Winding Up Directive [Directive 2001/24/EC],6,"Banking, Payments, Insurance & AML",keyword
32001L0029,Copyright InfoSoc Directive [Directive 2001/29/EC],3,"Digital Content, Media & Copyright",hand
32001L0034,Directive 2001/34/EC,5,"Financial Markets, Investment & Capital",keyword
32001L0037,Tobacco Products Directive [Directive 2001/37/EC],13,"Health, Medicines & Life Sciences",keyword
32001L0055,Temporary Protection Directive [Directive 2001/55/EC],10,"Migration, Asylum & Border Management",keyword
32001L0082,Directive 2001/82/EC,7,Consumer Rights & Internal Market,keyword
32001L0083,Medicines Directive [Directive 2001/83/EC],7,Consumer Rights & Internal Market,keyword
32001L0095,General Product Safety Directive [Directive 2001/95/EC],7,Consumer Rights & Internal Market,keyword
32001L0112,Directive 2001/112/EC,12,"Environment, Energy & Climate",keyword
32001R0044,Brussels I [Council Regulation (EC) No 44/2001] [repealed by Brussels I Recast],7,Consumer Rights & Internal Market,keyword
32001R0045,EU Institutions Data Protection Regulation [Regulation (EC) No 45/2001],0,Data Protection & Privacy,keyword
32001R0539,Visa List Regulation [Regulation (EC) No 539/2001],10,"Migration, Asylum & Border Management",keyword
32001R0789,Regulation (EC) No 789/2001,10,"Migration, Asylum & Border Management",keyword
32001R0999,TSE Regulation [Regulation (EC) No 999/2001],13,"Health, Medicines & Life Sciences",keyword
32001R1037,Regulation (EC) No 1037/2001,14,"Agriculture, Fisheries & Rural Development",keyword
32001R1049,ATDR - Access To Documents Regulation [Regulation (EC) No 1049/2001],15,EU Institutional Framework & Funding,keyword
32001R1206,Evidence Taking Regulation [Regulation (EC) No 1206/2001],7,Consumer Rights & Internal Market,keyword
32001R1386,Regulation (EC) No 1386/2001,7,Consumer Rights & Internal Market,keyword
32001R1936,Regulation (EC) No 1936/2001,14,"Agriculture, Fisheries & Rural Development",keyword
32001R2580,Regulation (EC) No 2580/2001,9,Criminal Justice & Fundamental Rights,keyword
32002D0348,Decision 2002/348/JHA,9,Criminal Justice & Fundamental Rights,hand
32002F0465,Council Framework Decision 2002/465,9,Criminal Justice & Fundamental Rights,hand
32002F0475,Council Framework Decision 2002/475 on combating terrorism,9,Criminal Justice & Fundamental Rights,hand
32002L0014,Information and Consultation Directive [Directive 2002/14/EC],7,Consumer Rights & Internal Market,keyword
32002L0019,Access Directive [Directive 2002/19/EC],2,Platform Regulation & Digital Markets,keyword
32002L0020,Authorisation Directive 2002/20/EC [repealed by Directive (EU) 2018/1972],2,Platform Regulation & Digital Markets,keyword
32002L0021,Framework Directive [Directive 2002/21/EC] [no longer in force],2,Platform Regulation & Digital Markets,keyword
32002L0022,Universal Service Directive [Directive 2002/22/EC] [repealed by EECC],2,Platform Regulation & Digital Markets,keyword
32002L0044,Vibration Directive [Directive 2002/44/EC],12,"Environment, Energy & Climate",keyword
32002L0047,Financial Collateral Directive [Directive 2002/47/EC],6,"Banking, Payments, Insurance & AML",keyword
32002L0058,ePrivacy Directive [Directive 2002/58/EC],0,Data Protection & Privacy,hand
32002L0059,Vessel Traffic Monitoring Directive [Directive 2002/59/EC],11,Transport & Mobility,keyword
32002L0065,Distance Marketing of Financial Services Directive [Directive 2002/65/EC],6,"Banking, Payments, Insurance & AML",hand
32002L0077,Directive 2002/77/EC,2,Platform Regulation & Digital Markets,keyword
32002L0083,Directive 2002/83/EC,6,"Banking, Payments, Insurance & AML",keyword
32002L0087,Financial Conglomerates Directive [Directive 2002/87/EC],5,"Financial Markets, Investment & Capital",keyword
32002L0092,Insurance Mediation Directive [Directive 2002/92/EC],6,"Banking, Payments, Insurance & AML",keyword
32002L0098,Blood Safety Directive [Directive 2002/98/EC],13,"Health, Medicines & Life Sciences",keyword
32002R0006,Community Designs Regulation [Regulation (EC) No 6/2002],8,Intellectual Property,keyword
32002R0178,General Food Law Regulation [Regulation (EC) No 178/2002],13,"Health, Medicines & Life Sciences",keyword
32002R0881,Regulation (EC) No 881/2002,9,Criminal Justice & Fundamental Rights,keyword
32002R1406,EMSA Regulation [Regulation (EC) No 1406/2002],11,Transport & Mobility,hand
32002R2099,Regulation (EC) No 2099/2002,11,Transport & Mobility,keyword
32002R2195,Common Procurement Vocabulary Regulation [Regulation (EC) No 2195/2002],7,Consumer Rights & Internal Market,keyword
32002R2321,Regulation (EC) No 2321/2002,15,EU Institutional Framework & Funding,keyword
32002R2368,Kimberley Process Regulation [Regulation (EC) No 2368/2002],8,Intellectual Property,keyword
32002R2371,Regulation (EC) No 2371/2002,14,"Agriculture, Fisheries & Rural Development",keyword
32003L0004,Environmental Information Access Directive [Directive 2003/4/EC],12,"Environment, Energy & Climate",keyword
32003L0006,Market Abuse Directive [Directive 2003/6/EC],5,"Financial Markets, Investment & Capital",keyword
32003L0008,Legal Aid Directive [Council Directive 2002/8/EC],9,Criminal Justice & Fundamental Rights,keyword
32003L0010,Noise at Work Directive [Directive 2003/10/EC],13,"Health, Medicines & Life Sciences",keyword
32003L0033,Tobacco Advertising Directive [Directive 2003/33/EC],3,"Digital Content, Media & Copyright",keyword
32003L0037,Directive 2003/37/EC,14,"Agriculture, Fisheries & Rural Development",keyword
32003L0041,IORP Directive [Directive 2003/41/EC],6,"Banking, Payments, Insurance & AML",keyword
32003L0042,Directive 2003/42/EC,11,Transport & Mobility,keyword
32003L0059,Professional Drivers Directive [Directive (EEC) No 3820/85],7,Consumer Rights & Internal Market,keyword
32003L0071,Prospectus Directive [Directive 2003/71/EC],5,"Financial Markets, Investment & Capital",keyword
32003L0086,Family Reunification Directive [Directive 2003/86/EC],10,"Migration, Asylum & Border Management",keyword
32003L0087,EU Emissions Trading Directive [Directive 2003/87/EC],12,"Environment, Energy & Climate",keyword
32003L0088,Working Time Directive [Directive 2003/88/EC],7,Consumer Rights & Internal Market,keyword
32003L0098,PSI Re-Use Directive [Directive 2003/98/EC] [repealed by Open Data Directive],2,Platform Regulation & Digital Markets,keyword
32003L0109,Long-Term Residents Directive [Directive 2003/109/EC],10,"Migration, Asylum & Border Management",keyword
32003R0001,Antitrust Enforcement Regulation [Regulation (EC) No 1/2003],5,"Financial Markets, Investment & Capital",keyword
32003R0146,Regulation (EC) No 146/2003,15,EU Institutional Framework & Funding,keyword
32003R0147,Regulation (EC) No 147/2003,15,EU Institutional Framework & Funding,keyword
32003R0343,Dublin II Regulation [Regulation (EC) No 343/2003],10,"Migration, Asylum & Border Management",keyword
32003R0450,Regulation (EC) No 450/2003,15,EU Institutional Framework & Funding,keyword
32003R0561,Regulation (EC) No 561/2003,9,Criminal Justice & Fundamental Rights,keyword
32003R0693,Regulation (EC) No 693/2003,10,"Migration, Asylum & Border Management",keyword
32003R0694,Regulation (EC) No 694/2003,10,"Migration, Asylum & Border Management",keyword
32003R0807,Regulation (EC) No 807/2003,12,"Environment, Energy & Climate",keyword
32003R0859,Regulation (EC) No 859/2003,7,Consumer Rights & Internal Market,keyword
32003R1210,Regulation (EC) No 1210/2003,15,EU Institutional Framework & Funding,keyword
32003R1560,Regulation (EC) No 1560/2003,10,"Migration, Asylum & Border Management",keyword
32003R1798,Regulation (EC) No 1798/2003,5,"Financial Markets, Investment & Capital",keyword
32003R1830,GMO Traceability and Labelling Regulation [Regulation (EC) No 1830/2003],13,"Health, Medicines & Life Sciences",keyword
32003R1831,Feed Additives Regulation [Regulation (EC) No 1831/2003],13,"Health, Medicines & Life Sciences",keyword
32003R1882,Comitology Adaptation Regulation [Regulation (EC) No 1882/2003],15,EU Institutional Framework & Funding,hand
32003R1946,GMO Transboundary Movements Regulation [Regulation (EC) No 1946/2003],10,"Migration, Asylum & Border Management",keyword
32003R1954,Regulation (EC) No 1954/2003,14,"Agriculture, Fisheries & Rural Development",keyword
32003R1984,Regulation (EC) No 1984/2003,14,"Agriculture, Fisheries & Rural Development",keyword
32003R2004,European Political Parties Regulation [Regulation (EC) No 2004/2003],15,EU Institutional Framework & Funding,keyword
32003R2065,Smoke Flavourings Regulation [Regulation (EC) No 2065/2003],7,Consumer Rights & Internal Market,keyword
32003R2160,Salmonella Regulation [Regulation (EC) No 2160/2003],13,"Health, Medicines & Life Sciences",keyword
32003R2201,Brussels II Regulation [Council Regulation (EC) No 2201/2003] [repealed by Brussels II Ter Regulation],7,Consumer Rights & Internal Market,keyword
32004L0009,Good Laboratory Practice Directive [Directive 2004/9/EC],13,"Health, Medicines & Life Sciences",keyword
32004L0012,Directive 2004/12/EC,12,"Environment, Energy & Climate",keyword
32004L0017,Utilities Directive [Directive 2004/17/EC],7,Consumer Rights & Internal Market,keyword
32004L0018,Public Procurement Directive [Directive 2004/18/EC],7,Consumer Rights & Internal Market,keyword
32004L0023,Human Tissues and Cells Directive [Directive 2004/23/EC],13,"Health, Medicines & Life Sciences",hand
32004L0025,Takeover Bids Directive [Directive 2004/25/EC],5,"Financial Markets, Investment & Capital",keyword
32004L0027,Directive 2004/27/EC,7,Consumer Rights & Internal Market,keyword
32004L0038,Free Movement Directive [Directive (EEC) No 1612/68],10,"Migration, Asylum & Border Management",keyword
32004L0039,MiFID - Markets in Financial Instruments Directive [Directive 2004/39/EC] [repealed by MiFID II],5,"Financial Markets, Investment & Capital",keyword
32004L0042,Decopaint Directive [Directive 2004/42/CE],12,"Environment, Energy & Climate",keyword
32004L0048,IP Enforcement Directive [Directive 2004/48/EC],8,Intellectual Property,hand
32004L0048R(01),Directive 2004/48 [Corrigendum],8,Intellectual Property,hand
32004L0049,Railway Safety Directive [Directive 2004/49/EC],11,Transport & Mobility,keyword
32004L0054,Tunnel Safety Directive [Directive 2004/54/EC],11,Transport & Mobility,keyword
32004L0066,Council Directive 2004/66/EC,11,Transport & Mobility,keyword
32004L0080,Compensation Directive [Council Directive 2004/80/EC],9,Criminal Justice & Fundamental Rights,keyword
32004L0081,Directive 2004/81/EC,10,"Migration, Asylum & Border Management",keyword
32004L0082,Council API Directive [Council Directive 2004/82/EC],10,"Migration, Asylum & Border Management",keyword
32004L0083,Qualification Directive [Directive 2004/83/EC],10,"Migration, Asylum & Border Management",keyword
32004L0109,Transparency Directive [Directive 2004/109/EC],5,"Financial Markets, Investment & Capital",hand
32004L0113,Gender Goods and Services Directive [Council Directive 2004/113/EC],6,"Banking, Payments, Insurance & AML",keyword
32004R0139,Merger Regulation [Council Regulation (EC) No 139/2004],5,"Financial Markets, Investment & Capital",keyword
32004R0261,Flight Compensation Regulation [Regulation (EC) No 261/2004],11,Transport & Mobility,keyword
32004R0273,Regulation (EC) No 273/2004,9,Criminal Justice & Fundamental Rights,keyword
32004R0460,Regulation (EC) No 460/2004,4,Cybersecurity & Operational Resilience,keyword
32004R0631,Regulation (EC) No 631/2004,7,Consumer Rights & Internal Market,keyword
32004R0723,"Regulation (EC, Euratom) No 723/2004",15,EU Institutional Framework & Funding,keyword
32004R0725,Ship and Port Facility Security Regulation [Regulation (EC) No 725/2004],11,Transport & Mobility,keyword
32004R0726,European Medicines Agency Regulation [Regulation (EC) No 726/2004],13,"Health, Medicines & Life Sciences",hand
32004R0785,Regulation (EC) No 785/2004,11,Transport & Mobility,keyword
32004R0794,Regulation (EC) No 794/2004,7,Consumer Rights & Internal Market,keyword
32004R0805,European Enforcement Order Regulation [Regulation (EC) No 805/2004],7,Consumer Rights & Internal Market,keyword
32004R0847,Regulation (EC) NO 847/2004,11,Transport & Mobility,keyword
32004R0851,ECDC Regulation [Regulation (EC) No 851/2004],13,"Health, Medicines & Life Sciences",hand
32004R0852,Food Hygiene Regulation [Regulation (EC) No 852/2004],13,"Health, Medicines & Life Sciences",keyword
32004R0854,Regulation (EC) No 854/2004,12,"Environment, Energy & Climate",keyword
32004R0869,Regulation (EC) No 869/2004,14,"Agriculture, Fisheries & Rural Development",keyword
32004R0881,European Railway Agency Regulation [Regulation (EC) No 881/2004],11,Transport & Mobility,keyword
32004R0882,Official Controls Regulation [Regulation (EC) No 882/2004],13,"Health, Medicines & Life Sciences",keyword
32004R1786,Regulation (EC) No 1786/2004,15,EU Institutional Framework & Funding,keyword
32004R1935,Food Contact Materials Regulation [Regulation (EC) No 1935/2004],7,Consumer Rights & Internal Market,keyword
32004R2006,CPC Regulation [Regulation (EC) No 2006/2004],7,Consumer Rights & Internal Market,hand
32004R2007,Frontex Regulation [Regulation (EC) No 2007/2004],9,Criminal Justice & Fundamental Rights,keyword
32004R2252,Council Regulation (EC) No 2252/2004,10,"Migration, Asylum & Border Management",keyword
32005D0671,Decision 2005/671/JHA,9,Criminal Justice & Fundamental Rights,hand
32005L0001,Directive 2005/1/EC,5,"Financial Markets, Investment & Capital",keyword
32005L0020,Directive 2005/20/EC,12,"Environment, Energy & Climate",keyword
32005L0029,UCPD - Unfair Commercial Practices Directive [Directive 2005/29/EC],7,Consumer Rights & Internal Market,keyword
32005L0035,Ship-Source Pollution Directive [Directive 2005/35/EC],11,Transport & Mobility,keyword
32005L0036,Professional Qualifications Directive [Directive 2005/36/EC],7,Consumer Rights & Internal Market,hand
32005L0044,RIS Directive [Directive 2005/44/EC],11,Transport & Mobility,hand
32005L0047,Directive 2005/47/EC,10,"Migration, Asylum & Border Management",keyword
32005L0056,Cross-Border Mergers Directive [Directive 2005/56/EC],10,"Migration, Asylum & Border Management",keyword
32005L0060,Directive 2005/60,9,Criminal Justice & Fundamental Rights,keyword
32005L0065,Directive 2005/65/EC,9,Criminal Justice & Fundamental Rights,keyword
32005L0085,Asylum Procedures Directive [Directive 2005/85/EC],10,"Migration, Asylum & Border Management",keyword
32005R0001,Animal Transport Regulation [Regulation (EC) No 1/2005],11,Transport & Mobility,keyword
32005R0111,Regulation (EC) No 111/2005,9,Criminal Justice & Fundamental Rights,keyword
32005R0396,Maximum Residue Levels Regulation [Regulation (EC) No 396/2005],13,"Health, Medicines & Life Sciences",keyword
32005R0560,Regulation (EC) No 560/2005,15,EU Institutional Framework & Funding,keyword
32005R0603,Regulation (EC) No 603/2005,7,Consumer Rights & Internal Market,hand
32005R0647,Regulation (EC) No 647/2005,7,Consumer Rights & Internal Market,keyword
32005R0648,Regulation (EC) No 648/2005,15,EU Institutional Framework & Funding,keyword
32005R0889,Regulation (EC) No 889/2005,15,EU Institutional Framework & Funding,keyword
32005R1160,Regulation (EC) No 1160/2005,10,"Migration, Asylum & Border Management",hand
32005R1183,Regulation (EC) No 1183/2005,15,EU Institutional Framework & Funding,keyword
32005R1290,Regulation 2005/1290,14,"Agriculture, Fisheries & Rural Development",keyword
32005R1552,Regulation (EC) No 1552/2005,7,Consumer Rights & Internal Market,keyword
32005R1698,Rural Development Regulation [Regulation (EC) No 1698/2005],14,"Agriculture, Fisheries & Rural Development",keyword
32005R1889,Cash Controls Regulation [Regulation (EC) No 1889/2005],6,"Banking, Payments, Insurance & AML",keyword
32005R2074,Regulation (EC) No 2074/2005,13,"Health, Medicines & Life Sciences",keyword
32005R2111,Air Carrier Black List Regulation [Regulation (EC) No 2111/2005],11,Transport & Mobility,keyword
32006L0001,Directive 2006/1/EC,7,Consumer Rights & Internal Market,keyword
32006L0007,Bathing Water Directive [Directive 2006/7/EC],12,"Environment, Energy & Climate",keyword
32006L0012,Waste Framework Directive [Directive 2006/12/EC],12,"Environment, Energy & Climate",keyword
32006L0017,Commission Directive 2006/17/EC,7,Consumer Rights & Internal Market,keyword
